time,latitude,longitude,track_ids
2015-06-03 14:48:30,-10.942581,-37.045742,38016
2015-06-03 14:48:49,-10.942579,-37.04574,38016
2015-06-03 14:49:02,-10.942579,-37.04574,38016
2015-06-03 14:49:13,-10.942579,-37.045742,38016
2015-06-03 14:49:23,-10.942579,-37.04574,38016
2015-06-03 14:49:33,-10.942579,-37.04574,38016
2015-06-03 14:49:43,-10.942579,-37.04574,38016
2015-06-03 14:49:54,-10.942579,-37.04574,38016
2015-06-03 14:50:07,-10.942579,-37.04574,38016
2015-06-03 14:50:22,-10.942579,-37.04574,38016
2015-06-03 14:50:34,-10.942579,-37.04574,38016
2015-06-03 14:50:44,-10.942579,-37.04574,38016
2015-06-03 14:50:56,-10.942579,-37.04574,38016
2015-06-03 14:51:07,-10.942579,-37.04574,38016
2015-06-03 14:51:18,-10.942579,-37.04574,38016
2015-06-03 14:51:30,-10.942579,-37.04574,38016
2015-06-03 14:51:43,-10.942579,-37.04574,38016
2015-06-03 14:51:54,-10.942579,-37.04574,38016
2015-06-03 14:52:04,-10.942579,-37.04574,38016
2015-06-03 14:52:14,-10.942579,-37.04574,38016
2015-06-03 14:52:24,-10.942579,-37.04574,38016
2015-06-03 14:52:36,-10.942579,-37.04574,38016
2015-06-03 14:52:50,-10.942579,-37.04574,38016
2015-06-03 14:53:01,-10.942579,-37.04574,38016
2015-06-03 14:53:15,-10.942579,-37.04574,38016
2015-06-03 14:53:27,-10.942579,-37.04574,38016
2015-06-03 14:53:37,-10.942579,-37.04574,38016
2015-06-03 14:53:49,-10.942579,-37.04574,38016
2015-06-03 14:53:59,-10.942579,-37.04574,38016
2015-06-03 14:54:10,-10.942579,-37.04574,38016
2015-06-03 14:54:20,-10.942578,-37.04574,38016
2015-06-03 14:54:35,-10.942579,-37.04574,38016
2015-06-03 14:54:47,-10.942578,-37.045734,38016
2015-06-03 14:54:59,-10.942579,-37.045734,38016
2015-06-03 14:55:14,-10.942578,-37.04574,38016
2015-06-03 14:55:24,-10.942579,-37.04574,38016
2015-06-03 14:55:34,-10.942579,-37.04574,38016
2015-06-03 14:55:47,-10.942578,-37.04574,38016
2015-06-03 14:55:57,-10.942579,-37.04574,38016
2015-06-03 14:56:07,-10.942578,-37.04574,38016
2015-06-05 12:50:06,-10.942577,-37.04573,38017
2015-06-05 12:50:12,-10.942582,-37.045746,38017
2015-06-05 12:50:17,-10.942582,-37.04575,38017
2015-06-05 12:50:23,-10.942582,-37.04575,38017
2015-06-05 12:50:30,-10.942583,-37.04575,38017
2015-06-05 12:50:39,-10.942583,-37.04575,38017
2015-06-05 12:50:44,-10.942583,-37.04575,38017
2015-06-05 12:50:49,-10.942581,-37.045746,38017
2015-06-05 12:50:54,-10.942582,-37.045746,38017
2015-06-05 12:51:02,-10.942582,-37.045746,38017
2015-06-05 12:51:08,-10.942582,-37.045746,38017
2015-06-05 12:51:15,-10.942582,-37.045746,38017
2015-06-05 12:51:21,-10.942582,-37.045746,38017
2015-06-05 12:51:27,-10.942581,-37.045746,38017
2015-06-05 12:51:32,-10.942582,-37.045746,38017
2015-06-05 12:51:37,-10.942582,-37.045746,38017
2015-06-05 12:51:44,-10.942583,-37.045746,38017
2015-06-05 12:51:51,-10.942583,-37.045746,38017
2015-06-05 12:51:57,-10.942582,-37.045746,38017
